,Latitude,Longitude,COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa,COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
16,57.45486068725586,129.4136505126953,2.1679066641690788e+18,160.39332580566406,,179.6340179443359,182.45846557617188,159.3644866943359,128.57968139648435,97.3642578125,64.10565185546875,27.844173431396484,15.535630226135252,255.56460571289065
17,57.66267395019531,129.4952850341797,2.7087727891075564e+18,165.7847900390625,,186.6820831298828,201.90841674804688,202.65214538574216,188.83692932128903,160.44985961914062,111.22740936279295,41.69214630126953,18.10738945007324,257.38580322265625
18,57.53456115722656,130.2680511474609,2.699448655626109e+18,168.82777404785156,173.50784301757812,188.037841796875,194.11561584472656,190.00489807128903,174.5914306640625,148.259521484375,107.91034698486328,42.51482009887695,18.396221160888672,257.1484069824219
19,57.20611572265625,130.92041015625,2.0634989641408184e+18,137.91004943847656,138.1546630859375,147.8583984375,155.28231811523435,149.22412109375,132.3662872314453,109.1284408569336,78.49243164062499,33.45148849487305,16.80666160583496,254.12249755859372
20,57.40582275390625,131.00794982910156,2.3319443157454684e+18,144.9156951904297,145.8588714599609,157.9351806640625,168.91232299804688,167.94180297851562,154.8685302734375,131.7624053955078,96.43885803222656,39.117671966552734,17.84749984741211,255.2936553955078
21,55.871368408203125,135.56777954101562,2.7409799585862774e+18,170.5988311767578,175.71595764160156,185.70948791503903,190.09118652343753,188.5884704589844,178.6534423828125,157.10272216796875,114.6960678100586,44.1272087097168,18.74988555908203,258.213623046875
22,56.07052993774414,135.67929077148435,2.6030871816899133e+18,160.94931030273435,164.9116973876953,177.27001953125,186.2315368652344,185.39956665039065,170.395751953125,143.0941162109375,103.2913589477539,41.48781204223633,18.43351173400879,256.9886474609375
23,55.53267288208008,137.03915405273435,3.1883907562597253e+18,159.53575134277344,170.2437744140625,176.5065460205078,187.61241149902344,202.83367919921875,212.74815368652344,197.3237152099609,131.0669708251953,43.471576690673835,18.476505279541012,266.5025634765625
24,55.73963165283203,137.1632843017578,3.361634756134437e+18,204.72903442382807,241.81039428710935,248.07928466796875,243.5117034912109,219.75173950195312,176.5557098388672,134.36990356445312,95.10242462158205,39.59604644775391,18.35940361022949,269.4623413085937
25,55.94620132446289,137.29006958007812,3.1342582254115226e+18,177.56390380859375,195.11837768554688,202.6020050048828,209.67491149902344,212.46826171875,198.63009643554688,165.8955841064453,111.96825408935545,41.299766540527344,18.357748031616207,265.13235473632807
