Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-137T12:09:12.6062Z [May,27.454,84.516,323905,493,16,38,113728
2023-137T12:09:12.6329Z [May,27.178,85.304,191787,318,11,24,113728
2023-137T12:09:13.6157Z [May,27.746,84.636,48654,75,4,8,113728
2023-137T12:09:13.9112Z [May,27.786,84.538,278366,417,18,39,113728
2023-137T12:09:14.0831Z [May,27.279,85.645,148682,257,8,17,113728
2023-137T12:09:14.2137Z [May,27.431,84.585,190653,338,12,19,113728
2023-137T12:09:14.7332Z [May,27.176,85.120,132277,408,7,18,113728
2023-137T12:09:15.2202Z [May,27.252,84.848,136055,90,2,13,113728
2023-137T12:09:15.4528Z [May,27.259,84.306,127053,123,4,13,113728
2023-137T12:09:16.4539Z [May,27.272,85.393,456457,529,14,33,113728
2023-137T12:09:16.7403Z [May,27.522,84.436,320591,542,18,49,113728
2023-137T12:09:16.8961Z [May,27.247,84.356,83706,201,4,9,113728
2023-137T12:09:16.9247Z [May,27.386,84.446,163319,166,8,19,113728
2023-137T12:09:16.9946Z [May,27.280,85.567,171838,250,6,13,113728
2023-137T12:09:17.0533Z [May,27.448,84.526,266678,576,12,26,113728
2023-137T12:09:17.4865Z [May,27.588,84.366,28486,0,1,3,113728
2023-137T12:09:17.5940Z [May,27.407,84.354,43811,159,3,6,113728
2023-137T12:09:17.6066Z [May,27.314,84.403,108070,234,4,9,113728
2023-137T12:09:17.6101Z [May,27.151,85.373,243805,315,15,29,113728
2023-137T12:09:17.7267Z [May,27.322,84.368,63957,173,6,10,113728
2023-137T12:09:17.7447Z [May,27.597,84.294,2858626,613,61,214,113728
2023-137T12:09:18.7919Z [May,27.414,84.563,82472,43,4,10,113728
2023-137T12:09:19.4864Z [May,27.126,85.132,222145,234,9,21,113728
2023-137T12:09:19.4864Z [May,27.231,85.572,1882978,810,45,152,113728
2023-137T12:09:20.2249Z [May,27.434,84.517,71724,102,3,10,113728
2023-137T12:09:20.6390Z [May,27.132,85.284,800995,564,22,65,113728
2023-137T12:09:20.8435Z [May,27.652,84.684,77105,25,2,7,113728
2023-137T12:09:22.0988Z [May,27.351,84.560,66069,109,4,7,113728
2023-137T12:09:22.2275Z [May,27.533,84.599,583257,326,16,59,113728
2023-137T12:09:22.2616Z [May,27.700,84.653,124872,184,9,16,113728
2023-137T12:09:22.9581Z [May,27.178,85.313,179516,283,13,21,113728
2023-137T12:09:22.9993Z [May,27.117,85.174,149078,281,6,14,113728
2023-137T12:09:23.2168Z [May,27.281,85.637,169589,318,6,16,113728
2023-137T12:09:24.1585Z [May,27.745,84.838,273390,530,16,35,113728
2023-137T12:09:24.1872Z [May,27.457,84.496,272375,159,11,23,113728
2023-137T12:09:24.5218Z [May,27.132,85.132,215043,499,10,22,113728
2023-137T12:09:24.5274Z [May,27.639,84.510,101642,286,8,14,113728
2023-137T12:09:24.6223Z [May,27.431,84.556,26365,0,1,3,113728
2023-137T12:09:24.8445Z [May,27.368,84.326,147749,370,7,16,113728
2023-137T12:09:25.4118Z [May,27.015,85.171,115500,0,1,12,113728
2023-137T12:09:25.4922Z [May,27.529,84.567,38651,106,4,6,113728
2023-137T12:09:25.7002Z [May,27.218,84.323,153598,71,6,22,113728
2023-137T12:09:25.7520Z [May,27.383,84.545,26539,64,2,3,113728
2023-137T12:09:25.9525Z [May,27.323,84.971,725027,440,22,70,113728
2023-137T12:09:28.1046Z [May,27.295,84.410,177072,92,7,18,113728
2023-137T12:09:28.1795Z [May,27.502,84.475,615486,127,9,36,113728
2023-137T12:09:28.2192Z [May,27.361,84.566,52748,182,4,8,113728
2023-137T12:09:28.9765Z [May,27.437,84.531,34812,0,1,3,113728
2023-137T12:09:29.1001Z [May,27.093,85.131,423674,513,17,47,113728
2023-137T12:09:29.4256Z [May,27.742,85.031,751629,651,27,118,113728
2023-137T12:09:29.7357Z [May,27.222,85.428,84319,3,3,9,113728
2023-137T12:09:29.9829Z [May,27.556,84.371,170999,322,6,19,113728
2023-137T12:09:30.1206Z [May,27.274,84.170,13950,0,1,1,113728
2023-137T12:09:30.2226Z [May,27.227,84.321,128816,51,6,20,113728
2023-137T12:09:30.2834Z [May,27.302,84.864,44174,62,2,6,113728
2023-137T12:09:30.2980Z [May,27.337,84.383,82818,46,3,9,113728
2023-137T12:09:30.5075Z [May,27.405,84.512,103460,215,5,10,113728
2023-137T12:09:30.8763Z [May,27.288,85.662,247624,443,16,35,113728
2023-137T12:09:31.0788Z [May,27.402,84.377,78175,33,2,9,113728
2023-137T12:09:31.2843Z [May,27.176,85.297,237421,381,9,32,113728
2023-137T12:09:31.4527Z [May,27.520,84.597,265883,372,12,36,113728
2023-137T12:09:31.6713Z [May,27.184,85.105,125870,21,2,10,113728
2023-137T12:09:31.9165Z [May,27.305,84.954,68352,113,6,11,113728
2023-137T12:09:32.0582Z [May,27.860,84.855,59704,1,2,6,113728
2023-137T12:09:32.2406Z [May,27.715,84.655,284506,506,13,31,113728
2023-137T12:09:33.5440Z [May,27.218,84.333,45679,0,1,5,113728
2023-137T12:09:33.5852Z [May,27.325,84.834,65955,19,3,10,113728
2023-137T12:09:33.6440Z [May,27.226,85.433,61198,120,3,8,113728
2023-137T12:09:33.7390Z [May,27.115,85.084,175452,78,4,13,113728
2023-137T12:09:33.8983Z [May,27.419,84.568,1637083,750,39,107,113728
2023-137T12:09:34.0149Z [May,27.046,85.148,83429,0,1,6,113728
