,Time,CAPE
245,2024-05-11T05:00:00+05:45,112.65674
246,2024-05-11T06:00:00+05:45,166.86325
247,2024-05-11T07:00:00+05:45,330.3042
248,2024-05-11T08:00:00+05:45,339.19287
249,2024-05-11T09:00:00+05:45,177.45712
250,2024-05-11T10:00:00+05:45,774.40967
251,2024-05-11T11:00:00+05:45,824.2434
252,2024-05-11T12:00:00+05:45,845.0925
253,2024-05-11T13:00:00+05:45,861.093
254,2024-05-11T14:00:00+05:45,924.2988
255,2024-05-11T15:00:00+05:45,1132.5542
256,2024-05-11T16:00:00+05:45,997.90283
257,2024-05-11T17:00:00+05:45,960.0957
258,2024-05-11T18:00:00+05:45,766.5957
259,2024-05-11T19:00:00+05:45,974.6045
260,2024-05-11T20:00:00+05:45,874.4226
261,2024-05-11T21:00:00+05:45,947.9263
262,2024-05-11T22:00:00+05:45,237.58109
263,2024-05-11T23:00:00+05:45,166.15623
264,2024-05-12T00:00:00+05:45,86.70969
265,2024-05-12T01:00:00+05:45,65.39366
266,2024-05-12T02:00:00+05:45,72.647
267,2024-05-12T03:00:00+05:45,84.60144
268,2024-05-12T04:00:00+05:45,220.77531
269,2024-05-12T05:00:00+05:45,314.2434
270,2024-05-12T06:00:00+05:45,364.41553
271,2024-05-12T07:00:00+05:45,610.23486
272,2024-05-12T08:00:00+05:45,516.34546
273,2024-05-12T09:00:00+05:45,329.51025
274,2024-05-12T10:00:00+05:45,236.09204
275,2024-05-12T11:00:00+05:45,256.97388
276,2024-05-12T12:00:00+05:45,158.72835
277,2024-05-12T13:00:00+05:45,154.47153
278,2024-05-12T14:00:00+05:45,117.13948
279,2024-05-12T15:00:00+05:45,118.83084
280,2024-05-12T16:00:00+05:45,153.96812
281,2024-05-12T17:00:00+05:45,167.5709
282,2024-05-12T18:00:00+05:45,155.1471
283,2024-05-12T19:00:00+05:45,176.58052
284,2024-05-12T20:00:00+05:45,129.81848
285,2024-05-12T21:00:00+05:45,125.96759
286,2024-05-12T22:00:00+05:45,88.40236
287,2024-05-12T23:00:00+05:45,104.438965
288,2024-05-13T00:00:00+05:45,58.27887
289,2024-05-13T01:00:00+05:45,67.28555
290,2024-05-13T02:00:00+05:45,62.26381
291,2024-05-13T03:00:00+05:45,237.35135
292,2024-05-13T04:00:00+05:45,628.33594
293,2024-05-13T05:00:00+05:45,348.04492
294,2024-05-13T06:00:00+05:45,434.89014
295,2024-05-13T07:00:00+05:45,356.48755
296,2024-05-13T08:00:00+05:45,497.98193
297,2024-05-13T09:00:00+05:45,474.50024
298,2024-05-13T10:00:00+05:45,361.72583
299,2024-05-13T11:00:00+05:45,467.5027
300,2024-05-13T12:00:00+05:45,262.2793
301,2024-05-13T13:00:00+05:45,228.23947
302,2024-05-13T14:00:00+05:45,210.91841
303,2024-05-13T15:00:00+05:45,268.91455
304,2024-05-13T16:00:00+05:45,426.3921
305,2024-05-13T17:00:00+05:45,521.291
306,2024-05-13T18:00:00+05:45,426.70166
307,2024-05-13T19:00:00+05:45,444.0974
308,2024-05-13T20:00:00+05:45,425.13037
309,2024-05-13T21:00:00+05:45,379.42725
310,2024-05-13T22:00:00+05:45,678.2637
311,2024-05-13T23:00:00+05:45,454.25342
312,2024-05-14T00:00:00+05:45,260.12476
313,2024-05-14T01:00:00+05:45,140.61095
314,2024-05-14T02:00:00+05:45,156.82909
315,2024-05-14T03:00:00+05:45,172.84254
316,2024-05-14T04:00:00+05:45,206.29956
317,2024-05-14T05:00:00+05:45,338.99487
318,2024-05-14T06:00:00+05:45,620.8179
319,2024-05-14T07:00:00+05:45,846.74854
320,2024-05-14T08:00:00+05:45,880.7019
321,2024-05-14T09:00:00+05:45,945.9529
322,2024-05-14T10:00:00+05:45,603.63794
323,2024-05-14T11:00:00+05:45,628.9817
324,2024-05-14T12:00:00+05:45,637.35547
325,2024-05-14T13:00:00+05:45,618.8047
326,2024-05-14T14:00:00+05:45,591.7246
327,2024-05-14T15:00:00+05:45,637.82104
328,2024-05-14T16:00:00+05:45,710.2781
329,2024-05-14T17:00:00+05:45,733.59204
330,2024-05-14T18:00:00+05:45,762.6443
331,2024-05-14T19:00:00+05:45,746.77
332,2024-05-14T20:00:00+05:45,681.5222
333,2024-05-14T21:00:00+05:45,592.56177
334,2024-05-14T22:00:00+05:45,1248.0693
335,2024-05-14T23:00:00+05:45,1201.9412
336,2024-05-15T00:00:00+05:45,1051.5132
337,2024-05-15T01:00:00+05:45,956.7312
338,2024-05-15T02:00:00+05:45,1135.5815
339,2024-05-15T03:00:00+05:45,1108.0305
340,2024-05-15T04:00:00+05:45,1262.0627
341,2024-05-15T05:00:00+05:45,1287.5144
342,2024-05-15T06:00:00+05:45,1349.8638
343,2024-05-15T07:00:00+05:45,1211.0212
344,2024-05-15T08:00:00+05:45,1395.8594
345,2024-05-15T09:00:00+05:45,980.83374
346,2024-05-15T10:00:00+05:45,1374.9038
347,2024-05-15T11:00:00+05:45,1008.1909
348,2024-05-15T12:00:00+05:45,827.42236
349,2024-05-15T13:00:00+05:45,869.91235
350,2024-05-15T14:00:00+05:45,756.7549
351,2024-05-15T15:00:00+05:45,591.8574
352,2024-05-15T16:00:00+05:45,506.2932
353,2024-05-15T17:00:00+05:45,446.14502
354,2024-05-15T18:00:00+05:45,430.07324
355,2024-05-15T19:00:00+05:45,379.36304
356,2024-05-15T20:00:00+05:45,300.94287
357,2024-05-15T21:00:00+05:45,265.25195
358,2024-05-15T22:00:00+05:45,626.9939
359,2024-05-15T23:00:00+05:45,770.8967
360,2024-05-16T00:00:00+05:45,761.52026
361,2024-05-16T01:00:00+05:45,625.6824
362,2024-05-16T02:00:00+05:45,543.5867
363,2024-05-16T03:00:00+05:45,508.18848
364,2024-05-16T04:00:00+05:45,626.7766
365,2024-05-16T05:00:00+05:45,601.6013
366,2024-05-16T06:00:00+05:45,641.9426
367,2024-05-16T07:00:00+05:45,516.8286
368,2024-05-16T08:00:00+05:45,267.8794
369,2024-05-16T09:00:00+05:45,55.15628
370,2024-05-16T10:00:00+05:45,49.92575
371,2024-05-16T11:00:00+05:45,9.896535
372,2024-05-16T12:00:00+05:45,9.291746
373,2024-05-16T13:00:00+05:45,13.690207
374,2024-05-16T14:00:00+05:45,11.216072
375,2024-05-16T15:00:00+05:45,10.501323
376,2024-05-16T16:00:00+05:45,10.886188
377,2024-05-16T17:00:00+05:45,9.621631
378,2024-05-16T18:00:00+05:45,7.6423235
379,2024-05-16T19:00:00+05:45,5.368325
380,2024-05-16T20:00:00+05:45,6.5691338
381,2024-05-16T21:00:00+05:45,8.450143
382,2024-05-16T22:00:00+05:45,95.99745
383,2024-05-16T23:00:00+05:45,91.67384
384,2024-05-17T00:00:00+05:45,62.13736
385,2024-05-17T01:00:00+05:45,42.896347
386,2024-05-17T02:00:00+05:45,218.37486
387,2024-05-17T03:00:00+05:45,72.722336
388,2024-05-17T04:00:00+05:45,37.618164
389,2024-05-17T05:00:00+05:45,4.800659
390,2024-05-17T06:00:00+05:45,0.0
391,2024-05-17T07:00:00+05:45,0.0
392,2024-05-17T08:00:00+05:45,0.0
393,2024-05-17T09:00:00+05:45,0.0
394,2024-05-17T10:00:00+05:45,3.4204254
395,2024-05-17T11:00:00+05:45,5.3407335
396,2024-05-17T12:00:00+05:45,6.6696835
397,2024-05-17T13:00:00+05:45,21.016678
398,2024-05-17T14:00:00+05:45,16.702072
399,2024-05-17T15:00:00+05:45,13.861905
400,2024-05-17T16:00:00+05:45,12.421707
401,2024-05-17T17:00:00+05:45,10.921501
402,2024-05-17T18:00:00+05:45,7.501031
403,2024-05-17T19:00:00+05:45,4.680643
404,2024-05-17T20:00:00+05:45,10.295313
405,2024-05-17T21:00:00+05:45,8.639678
406,2024-05-17T22:00:00+05:45,6.7809315
407,2024-05-17T23:00:00+05:45,14.04193
408,2024-05-18T00:00:00+05:45,21.36293
409,2024-05-18T01:00:00+05:45,24.423355
410,2024-05-18T02:00:00+05:45,198.47011
411,2024-05-18T03:00:00+05:45,102.01402
412,2024-05-18T04:00:00+05:45,38.355392
413,2024-05-18T05:00:00+05:45,12.701787
414,2024-05-18T06:00:00+05:45,30.227478
